CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
427617,TCMGBHO0061,MGSAVS2,Aguardando Aprovação,07/10/2026,RUA ANTONIO DE ALBUQUERQUE 842,BH,Renato Parreiras
427660,TCMGLTA0002,MGLGS03,Aguardando Aprovação,07/10/2026,RUA ARGENTINA SN,BH,Rafael Porto Alves da Cruz
428007,TCMGCAP0001,MGCAP01,Aguardando Aprovação,17/10/2026,RUA ARLINDO JOSE DE OLIVEIRA SN,LESTE,Paulo De Freitas Pereira
427601,TCMGBHO0043,MGOUP09,Aguardando Aprovação,07/10/2026,RUA ATALAIA 336,BH,Rafael Porto Alves da Cruz
417097,TCMGMSP0001,MGMSP01,Liberado,22/09/2026,RUA AURELIANO CHAVES SN,SUL,Adriano Francisco de Paula
427898,TCMGJQN0001,MGJQN01,Aguardando Aprovação,09/10/2026,RUA BELO HORIZONTE 493,LESTE,Paulo De Freitas Pereira
427945,TCMGUBE0010,MGULA21,Aguardando Aprovação,18/10/2026,RUA BERNARDO GUIMARAES 487 SN,OESTE,Arthur Gomes de Paulo
427797,TTMGFDS0001,MGFDS80,Aguardando Aprovação,07/10/2026,RUA BOA VISTA,METROPOLITANO,Leandro de Menezes Assunção
427586,TCMGBHO0021,MGCEN24,Aguardando Aprovação,07/10/2026,RUA BRITO MELO- 433,BH,Renato Parreiras
427753,TCMGMRN0003,MGMRNR1,Aguardando Aprovação,07/10/2026,RUA CAIANA 78,METROPOLITANO,Arthur Santos de Oliveira
428049,TEMGGVD0001,MGGVD01,Aguardando Aprovação,17/10/2026,RUA CAIO MARTINS- 55-,LESTE,Paulo De Freitas Pereira
427678,TCMGSBR0001,MGSBR01,Aguardando Aprovação,07/10/2026,RUA CAIXA DAGUA SN,BH,Rafael Porto Alves da Cruz
427992,TEMGMCL0003,MGMCL03,Aguardando Aprovação,17/11/2026,RUA CAMÉLIA-,NORTE,Paulo De Freitas Pereira
427619,TCMGBHO0062,MGBEL22,Aguardando Aprovação,07/10/2026,RUA CARACA 664,BH,Renato Parreiras
427625,TCMGBHO0069,MGBEL28,Aguardando Aprovação,07/10/2026,RUA CARACA- 1043,BH,Renato Parreiras
427772,TCMGPNV0001,MGPNV02,Aguardando Aprovação,07/10/2026,RUA CARLOS MARQUES- 340,METROPOLITANO,Arthur Santos de Oliveira
417104,TCMGPER0001,MGPER01,Liberado,22/09/2026,RUA CARMEM TEIXEIRA MAIA- SN,SUL,Adriano Francisco de Paula
427578,TCMGBHO0010,MGBRT02,Aguardando Aprovação,07/10/2026,RUA CATETE- 534,BH,Renato Parreiras
427783,TCMGSLG0001,MGSLG03,Aguardando Aprovação,07/10/2026,RUA CEL JOSE FERREIRA DA ROCHA 466,METROPOLITANO,Leandro de Menezes Assunção
427995,TCMGABC0001,MGABC01,Aguardando Aprovação,17/10/2026,RUA CESARIO ALVIM 300,LESTE,Paulo De Freitas Pereira
427709,TCMGDIV0003,MGDIV04,Aguardando Aprovação,07/10/2026,RUA CHUMBO 2500,METROPOLITANO,Leandro de Menezes Assunção
427905,TCMGJZF0004,MGJZF20,Aguardando Aprovação,20/10/2026,RUA COMENDADOR F ALVARES DE ASSIS SN,ZONA DA MATA,André Valério de Paiva
428014,TCMGITI0001,MGITI01,Aguardando Aprovação,17/10/2026,RUA CORONEL MURTA SN,LESTE,Paulo De Freitas Pereira
427729,TCMGGOV0001,MGGOV01,Aguardando Aprovação,07/10/2026,RUA CORONEL SICA SN,METROPOLITANO,Leandro de Menezes Assunção
417168,TCMGERV0001,MGERV01,Liberado,22/09/2026,RUA CRISTO REDENTOR- S/N,ZONA DA MATA,André Valério de Paiva
428047,TCMGVMA0001,MGVMA01,Aguardando Aprovação,17/10/2026,RUA D- SN,LESTE,Paulo De Freitas Pereira
427647,TCMGCTG0006,MGCTG21,Aguardando Aprovação,07/10/2026,RUA DA BELGICA 20,BH,Rafael Porto Alves da Cruz
427806,TCMGMBL0001,MGMBL01,Aguardando Aprovação,07/10/2026,RUA DA REPUBLICA 244,SUL,Adriano Francisco de Paula
427579,TCMGBHO0011,MGBRT03,Aguardando Aprovação,07/10/2026,RUA DANIEL DE CARVALHO- 1195,BH,Renato Parreiras
427580,TCMGBHO0012,MGBRT13,Aguardando Aprovação,07/10/2026,RUA DAS CANOAS 820,BH,Renato Parreiras
427667,TCMGNLM0005,MGNVL22,Aguardando Aprovação,07/10/2026,RUA DAS ESTRELAS- 135,BH,Renato Parreiras
427652,TCMGCTG0010,MGCTG37,Aguardando Aprovação,07/10/2026,RUA DEZ SN,BH,Rafael Porto Alves da Cruz
417167,TCMGEOS0001,MGEOS01,Liberado,22/09/2026,RUA DO CATETE SN,ZONA DA MATA,André Valério de Paiva
427688,TEMGBHO0012,MGSAV24,Aguardando Aprovação,07/10/2026,RUA DO OURO 608,BH,Renato Parreiras
427808,TCMGPRG0001,MGPRG01,Aguardando Aprovação,07/10/2026,RUA DOM FERAO SN,SUL,Adriano Francisco de Paula
427953,TCMGVZE0001,MGVZE02,Aguardando Aprovação,18/10/2026,RUA DONA SEBASTIANA SN,OESTE,Arthur Gomes de Paulo
428058,TCMGGLL0001,MGGLL01,Aguardando Aprovação,17/11/2026,RUA DOS OPERARIOS X RUA BERILO- SN,LESTE,Paulo De Freitas Pereira
427611,TCMGBHO0055,MGSAV11,Aguardando Aprovação,07/10/2026,RUA DOS OTONI 428,BH,Renato Parreiras
427640,TCMGBHO0084,MGCEN39,Aguardando Aprovação,07/10/2026,RUA DOS PAMPAS- 690,BH,Renato Parreiras
427940,TCMGUBE0005,MGULA37,Aguardando Aprovação,18/10/2026,RUA DOS PICA PAUS LOTES 08 E 09 1343,OESTE,Arthur Gomes de Paulo
